Player,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,GOALS,xG,ASSISTS,xA,DUELS PER 90,DUELS WON %,Birth country,Passport country,Foot,Height,Weight,On loan,SUCCESSFUL DEFENSIVE ACTIONS PER 90,DEFENSIVE DUELS PER 90,DEFENSIVE DUELS WON %,AERIAL DUELS PER 90,AERIAL DUELS WON %,SLIDING TACKLES PER 90,PADJ SLIDING TACKLES,SHOTS BLOCKED PER 90,INTERCEPTIONS PER 90,PADJ INTERCEPTIONS,FOULS PER 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,SUCCESSFUL ATTACKING ACTIONS PER 90,GOALS PER 90,Non-penalty goals,NON PENALITY GOALS PER 90,xG PER 90,Head goals,Head goals per 90,SHOTS,SHOTS PER 90,SHOTS ON TARGET %,GOAL CONVERSION %,ASSISTS PER 90,CROSSES PER 90,ACCURATE CROSSES %,DRIBBLES PER 90,SUCCESSFUL DRIBBLES %,OFFENSIVE DUELS PER 90,OFFENSIVE DUELS WON %,TOUCHES IN BOX PER 90,PROGRESSIVE RUNS PER 90,ACCELERATIONS PER 90,PASSES PER 90,ACCURATE PASSES %,FORWARD PASSES PER 90,ACCURATE FORWARD PASSES %,BACK PASSES PER 90,ACCURATE BACK PASSES %,LATERAL PASSES PER 90,ACCURATE LATERAL PASSES %,LONG PASSES PER 90,ACCURATE LONG PASSES %,AVERAGE PASS LENGTH,AVERAGE LONG PASS LENGTH,xA PER 90,SHOT ASSISTS PER 90,SECOND ASSISTS PER 90,THIRD ASSISTS PER 90,SMART PASSES PER 90,ACCURATE SMART PASSES %,KEY PASSES PER 90,PASSES TO FINAL THIRD PER 90,ACCURATE PASSES TO FINAL THIRD %,PASSES TO PENALTY AREA PER 90,ACCURATE PASSES TO PENALTY AREA %,THROUGH PASSES PER 90,ACCURATE THROUGH PASSES %,DEEP COMPLETIONS PER 90,DEEP COMPLETED CROSSES per 90,PROGRESSIVE PASSES PER 90,ACCURATE PROGRESSIVE PASSES %
Mikel Merino,Arsenal,"LCMF, RW",28,50000000,2028-06-30,7,438,1,2.47,0,0.2,19.52,49.47,Spain,Spain,left,189,83,no,8.01,7.4,50,5.14,52,0.62,0.95,0.82,3.7,5.68,2.67,1,0.21,0,0,1.44,0.21,1,0.21,0.51,1,0.21,9,1.85,33.33,11.111,0,0.82,0,0.62,100,4.32,57.14,3.7,0.82,0,34.93,82.35,11.71,75.44,7.19,94.29,11.1,88.89,2.88,57.14,17.21,30.16,0.04,0.62,0,0,0.21,100,0.21,5.55,70.37,2.05,80,0,0,1.23,0,4.32,85.71
Gabriel Jesus,Arsenal,CF,27,65000000,2027-06-30,11,299,0,1.52,0,0.65,25.59,38.82,Brazil,Brazil,right,175,73,no,5.72,5.12,64.71,3.31,36.36,0,0,0.3,2.41,4.44,1.81,4,1.2,0,0,3.91,0,0,0,0.46,0,0,8,2.41,25,0,0,1.2,25,4.82,62.5,14.45,35.42,5.42,0.9,0.6,25.28,80.95,4.21,64.29,9.03,93.33,6.02,75,0.6,0,15.21,4.26,0.2,1.51,0,0,0,0,0.3,1.2,100,1.81,66.67,0,0,1.51,0.3,2.41,62.5
D. Rice,Arsenal,"LCMF, RCMF",25,120000000,2028-06-30,12,1128,0,1.09,2,3.07,12.29,48.7,England,"England, Republic of Ireland",right,185,80,no,5.27,3.99,60,1.99,48,0.4,0.56,0.56,2.47,3.47,0.88,3,0.24,1,0.08,1.68,0,0,0,0.09,0,0,13,1.04,15.38,0,0.16,1.6,40,1.28,68.75,4.23,43.4,1.99,2.15,0.48,38.86,89.73,9.81,83.74,7.5,96.81,15.4,92.75,2.79,68.57,18.27,37.01,0.24,1.44,0.08,0,0,0,0.32,4.23,83.02,2.15,66.67,0,0,1.2,0.64,3.99,84
K. Havertz,Arsenal,CF,25,70000000,2028-06-30,13,1308,5,5.12,1,0.91,21.54,30.35,Germany,Germany,left,193,84,no,4.54,3.23,55.32,6.67,34.02,0.14,0.19,0.21,2.61,3.52,1.79,2,0.14,0,0,1.79,0.34,5,0.34,0.35,1,0.07,26,1.79,38.46,19.231,0.07,0.76,27.27,2,44.83,6.67,22.68,3.44,1.51,0.41,18.3,84.96,4.75,72.46,4.89,97.18,4.61,80.6,0.55,50,13.96,15.92,0.06,0.41,0,0,0,0,0.28,1.44,80.95,0.89,61.54,0,0,0.76,0.21,1.72,72
J. Kiwior,Arsenal,"LCB, RCB",24,30000000,2028-06-30,7,281,0,0,0,0,10.57,42.42,Poland,Poland,left,189,75,no,6.41,5.12,50,2.88,33.33,0,0,0.64,3.84,4.68,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,40,0.32,0,0,31.07,80.41,12.49,61.54,2.56,100,13.45,92.86,5.44,41.18,17.02,20.16,0,0,0,0,0,0,0,2.24,42.86,0,0,0,0,0,0,4.16,38.46
J. Timber,Arsenal,"LB, RB",23,38000000,2028-06-30,12,1043,1,1.12,1,0.36,15.7,49.45,Netherlands,"Netherlands, Curaçao",right,182,77,no,7.33,6.99,64.2,1.21,42.86,0.17,0.24,0.43,2.67,3.68,1.12,3,0.26,0,0,1.29,0.09,1,0.09,0.1,1,0.09,9,0.78,22.22,11.111,0.09,1.38,18.75,1.64,52.63,5.18,38.33,1.64,0.95,0.17,30.03,83.62,10.61,79.67,4.49,92.31,9.84,86.84,1.21,57.14,17.19,24.74,0.03,0.69,0.09,0,0,0,0.35,3.8,68.18,1.29,46.67,0,0,0.6,0.17,3.88,71.11
B. Saka,Arsenal,"RWF, RW",23,140000000,2027-06-30,13,1160,5,4.11,10,5.32,23.35,39.87,England,"England, Nigeria",left,178,65,no,3.96,3.96,52.94,1.32,29.41,0,0,0,1.86,2.71,0.93,3,0.23,0,0,6.21,0.39,4,0.31,0.32,0,0,37,2.87,37.84,13.514,0.78,3.57,39.13,6.59,55.29,15.05,40.21,6.44,3.65,0.39,30.1,82.47,5.35,75.36,9.85,93.7,9.39,79.34,0.7,44.44,15.98,12.02,0.41,3.1,0.16,0.08,0.16,50,1.32,1.09,85.71,3.49,73.33,0.31,25,2.25,1.4,4.5,84.48
J. Ramsey,Aston Villa,"LAMF, LW",23,35000000,2027-06-30,10,688,0,0.57,0,0.59,16.48,45.24,England,England,right,180,72,no,4.06,3.27,68,0.78,16.67,0.13,0.19,0.13,1.7,2.44,0.52,1,0.13,0,0,3.4,0,0,0,0.08,0,0,9,1.18,22.22,0,0,1.57,25,4.06,67.74,10.86,43.37,3.14,3.01,0.78,33.75,87.6,7.06,81.48,9.68,95.95,7.98,88.52,0.65,60,14.71,15.37,0.08,0.65,0.26,0,0,0,0.13,2.22,88.24,1.31,70,0,0,1.18,0.26,4.06,77.42
K. Nedeljković,Aston Villa,RB,18,0,,3,120,0,0,0,0,11.25,73.33,Serbia,Serbia,right,184,72,no,6.75,6,100,0.75,0,0,0,0,0.75,0.86,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.75,100,1.5,50,3.75,40,0,1.5,0,21.75,86.21,9,83.33,3.75,100,6.75,88.89,2.25,66.67,19.86,19.99,0,0,0,0,0,0,0,3,75,0.75,100,0,0,0,0,4.5,66.67
A. Onana,Aston Villa,"RDMF, RCMF",23,50000000,2029-06-30,10,775,2,2.03,0,0.06,16.26,52.14,Senegal,"Senegal, Belgium",right,195,88,no,8.83,7.08,52.46,3.14,70.37,1.05,1.32,0.46,4.06,5.15,1.97,3,0.35,0,0,1.16,0.23,2,0.23,0.24,1,0.12,11,1.28,36.36,18.182,0,0.12,100,1.05,55.56,4.41,44.74,1.05,1.05,0.12,36,92.26,8.94,79.22,7.32,95.24,13.35,97.39,0.7,83.33,16.18,22.5,0.01,0.12,0,0,0.12,0,0,3.83,75.76,0.93,75,0.12,0,0.35,0,3.72,71.88
L. Bogarde,Aston Villa,RB,20,450000,2025-06-30,3,236,0,0,0,0.09,16.4,51.16,Netherlands,"Netherlands, Suriname",right,183,76,no,9.15,8.77,56.52,0.38,100,0.76,1.3,0,3.43,5.87,1.91,1,0.38,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,100,5.72,46.67,0.38,2.29,0.38,46.53,87.7,21.36,78.57,5.72,93.33,11.82,96.77,1.91,20,15.63,32.07,0.03,0.38,0,0,0,0,0.38,8.01,71.43,1.91,40,0.38,0,1.14,0,7.25,84.21
E. Martínez,Aston Villa,GK,32,28000000,2029-06-30,15,1468,0,0,0,0,0.92,80,Argentina,"Argentina, Spain",right,195,88,no,1.23,0.18,66.67,0.49,75,0,0,0,1.1,1.5,0.06,1,0.06,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,100,0.12,100,0,0,0,25.01,87.99,8.52,69.06,0,0,15.88,98.07,6.62,62.96,28.56,48.25,0,0,0,0,0,0,0,2.15,40,0.12,0,0.31,0,0,0,4.23,69.57
R. Olsen,Aston Villa,GK,34,1500000,2025-06-30,1,51,0,0,0,0,1.76,0,Sweden,"Sweden, Denmark",right,196,89,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.47,86.67,10.59,66.67,0,0,12.35,100,7.06,50,27.9,51.63,0,0,0,0,0,0,0,3.53,50,0,0,0,0,0,0,5.29,66.67
T. Mings,Aston Villa,LCB,31,13000000,2026-06-30,1,98,0,0.51,0,0,8.27,77.78,England,"England, Barbados",left,196,77,no,4.59,0,0,8.27,77.78,0,0,0.92,4.59,6,0,0,0,0,0,0,0,0,0,0.46,0,0,2,1.84,0,0,0,0,0,0,0,0,0,2.76,0,0,35.82,92.31,14.69,87.5,3.67,100,13.78,93.33,3.67,100,18.45,38.84,0,0,0,0,0,0,0,2.76,100,0.92,100,0.92,100,0.92,0,4.59,60
E. Buendía,Aston Villa,"AMF, CF, LW",27,22000000,2026-06-30,7,84,0,0,0,0,19.29,38.89,Argentina,"Argentina, Spain",right,172,72,no,8.57,8.57,50,1.07,0,0,0,0,4.29,8.57,3.21,1,1.07,0,0,1.07,0,0,0,0,0,0,1,1.07,0,0,0,0,0,0,0,7.5,42.86,1.07,4.29,0,38.57,83.33,11.79,72.73,9.64,100,8.57,75,3.21,33.33,13.85,10.74,0,0,0,0,1.07,100,0,7.5,71.43,1.07,0,2.14,50,0,0,4.29,100
M. Cash,Aston Villa,RB,27,28000000,2027-06-30,9,719,1,0.24,0,0.15,15.27,50,England,"England, Poland",right,185,74,no,9.01,8.26,57.58,2.25,33.33,0.25,0.34,0.38,4.01,5.45,1.25,3,0.38,0,0,1.63,0.13,1,0.13,0.03,0,0,2,0.25,50,50,0,1.13,33.33,1.5,75,3.38,48.15,0.63,1.38,0.88,35.17,87.19,12.64,79.21,8.01,98.44,8.26,92.42,2.13,41.18,19.07,33.23,0.02,0.13,0,0,0,0,0.13,3,75,1.13,44.44,0.38,33.33,0,0.38,4.26,73.53
J. Philogene,Aston Villa,"RAMF, LAMF, RW",22,15000000,2029-06-30,11,402,0,0.36,0,0.24,19.03,44.71,England,"England, Dominica",right,179,67,no,6.04,6.94,45.16,1.34,16.67,0,0,0,2.91,3.98,2.91,3,0.67,1,0.22,2.69,0,0,0,0.08,0,0,5,1.12,0,0,0,1.34,16.67,4.25,57.89,9.18,48.78,2.24,2.24,0.45,20.15,72.22,4.03,38.89,6.27,100,4.25,63.16,0.22,0,14.56,6.44,0.05,0.45,0,0,0,0,0.22,0.9,100,1.34,50,0,0,1.12,0.22,2.24,50
J. Durán,Aston Villa,"CF, AMF",20,20000000,2028-06-30,15,515,5,3.85,0,0,23.77,44.12,Colombia,Colombia,left,185,73,no,5.24,3.15,77.78,7.17,36.59,0.52,0.8,0,2.27,3.48,1.22,2,0.35,0,0,3.15,0.87,5,0.87,0.67,1,0.17,23,4.02,43.48,21.739,0,0.35,50,2.1,58.33,8.39,50,4.89,0.7,0,16.78,79.17,2.8,68.75,3.84,81.82,6.64,78.95,0.52,66.67,15.27,7.38,0,0,0.17,0,0,0,0,2.45,64.29,1.05,66.67,0,0,0.52,0.17,2.1,66.67
I. Maatsen,Aston Villa,LB,22,40000000,2030-06-30,12,363,0,0.03,0,0.82,14.88,45,Netherlands,"Netherlands, Suriname",left,178,57,no,8.43,8.43,52.94,1.24,40,0.25,0.45,0,3.72,6.82,0.74,1,0.25,0,0,2.73,0,0,0,0.01,0,0,2,0.5,50,0,0,3.72,46.67,2.48,30,4.21,35.29,3.72,1.98,0.99,41.4,83.23,10.17,68.29,10.41,95.24,10.17,85.37,2.23,66.67,14.69,18.97,0.2,1.74,0.25,0,0,0,0.5,1.98,100,2.48,70,0,0,2.48,1.74,7.93,59.38
L. Digne,Aston Villa,LB,31,12000000,2026-06-30,15,1185,0,0.7,1,3.4,13.59,55.31,France,France,left,178,74,no,9.11,7.52,63.64,2.58,50,0.46,0.58,0.15,3.87,4.9,0.99,3,0.23,0,0,2.05,0,0,0,0.05,0,0,7,0.53,42.86,0,0.08,3.57,38.3,0.68,66.67,1.9,36,1.14,0.53,0,35.16,84.02,8.81,76.72,8.51,96.43,10.94,87.5,1.97,53.85,18.15,23.73,0.26,1.59,0,0.08,0,0,0.84,1.29,76.47,2.58,58.82,0.08,100,0.68,1.52,6.84,62.22
R. Barkley,Aston Villa,"RDMF, RCMF",31,8000000,,12,537,2,1.88,0,0.36,13.58,51.85,England,England,right,189,79,no,7.71,5.7,61.76,1.34,37.5,1.01,1.75,0.34,3.18,5.53,1.34,3,0.5,0,0,1.84,0.34,2,0.34,0.32,1,0.17,12,2.01,33.33,16.667,0,0,0,1.68,70,5.2,41.94,2.18,2.18,0,43.24,86.43,10.89,80,5.03,93.33,18.44,89.09,1.17,28.57,16.1,14.06,0.06,1.01,0,0,0.17,0,0.34,4.69,78.57,1.51,66.67,0.17,0,1.34,0,5.7,47.06
J. McGinn,Aston Villa,"RW, LAMF, AMF",30,30000000,2027-06-30,13,969,0,1.52,1,1.52,18.58,46,Scotland,Scotland,left,178,68,no,3.53,4.46,52.08,1.39,46.67,0,0,0,1.21,1.5,1.3,2,0.19,0,0,2.32,0,0,0,0.14,0,0,15,1.39,13.33,0,0.09,2.14,39.13,2.79,46.67,10.22,43.64,2.32,1.02,0.09,24.24,85.82,5.29,80.7,5.76,96.77,8.17,84.09,1.95,71.43,18.63,27.41,0.14,0.93,0,0,0,0,0.37,2.69,86.21,2.23,66.67,0.19,50,1.3,0.84,4.09,90.91
Y. Tielemans,Aston Villa,"LDMF, LCMF",27,25000000,2027-06-30,15,1447,0,1.06,4,3.02,13.43,57.41,Belgium,"Belgium, Congo DR",right,176,72,no,7.15,5.85,59.57,1.24,55,0.37,0.5,0.31,3.3,4.42,1.37,3,0.19,0,0,1.55,0,0,0,0.07,0,0,11,0.68,27.27,0,0.25,1.06,17.65,1.68,66.67,4.98,53.75,0.5,1,0.19,51.87,87.29,16.92,75.74,5.22,98.81,20.4,92.68,3.42,49.09,18.16,33.49,0.19,1.43,0,0.12,0.31,20,0.31,10.57,77.65,2.43,43.59,1.12,27.78,0.81,0.25,7.15,76.52
Diego Carlos,Aston Villa,RCB,31,16000000,2026-06-30,8,742,0,0.1,0,0,6.91,52.63,Brazil,"Brazil, Spain",right,185,79,no,5.09,2.55,66.67,2.18,50,0,0,0.61,3.4,4.8,0.97,1,0.12,0,0,0.12,0,0,0,0.01,0,0,1,0.12,100,0,0,0,0,0.12,0,1.46,33.33,0.49,0,0,52.04,90.44,16.62,80.29,1.58,100,29.72,97.55,4.85,57.5,21.48,39.63,0,0,0,0,0,0,0,4.49,70.27,0.49,25,0.36,33.33,0.12,0,7.04,63.79
O. Watkins,Aston Villa,CF,28,65000000,2028-06-30,15,1214,7,8.17,2,1.8,17.79,34.58,England,England,right,180,78,no,2.3,2.59,48.57,3.19,34.88,0.15,0.2,0.15,0.89,1.22,1.11,0,0,0,0,2.52,0.52,6,0.44,0.61,3,0.22,41,3.04,46.34,17.073,0.15,0.52,14.29,2.74,37.84,8.82,34.45,5.78,1.63,0.15,11.34,79.74,1.48,55,3.63,95.92,2.89,74.36,0.37,80,12.31,9.55,0.13,0.67,0,0,0,0,0.44,0.74,80,0.82,54.55,0,0,1.04,0.07,0.59,62.5
L. Bailey,Aston Villa,"RAMF, RW",27,42000000,2027-06-30,14,809,0,0.54,1,0.8,17.91,40.99,Jamaica,Jamaica,left,178,77,no,5.01,4.34,53.85,1.11,20,0,0,0,2.67,3.64,0.78,2,0.22,0,0,3.34,0,0,0,0.06,0,0,11,1.22,18.18,0,0.11,2.56,21.74,4.89,52.27,10.68,38.54,3.56,3.56,0.44,25.14,73.89,5.01,60,8.68,89.74,6.34,71.93,2.56,60.87,17.63,29.83,0.09,0.67,0,0,0,0,0.22,1.56,71.43,3.11,53.57,0.33,66.67,1.67,0.56,3.67,69.7
Pau Torres,Aston Villa,LCB,27,45000000,2028-06-30,14,1421,0,0.16,0,0,8.42,60.15,Spain,Spain,left,191,80,no,4.88,3.17,74,2.22,42.86,0.13,0.17,0.32,2.41,3.25,0.32,1,0.06,0,0,0.51,0,0,0,0.01,0,0,2,0.13,50,0,0,0.13,0,0.44,100,1.46,56.52,0.19,2.09,0.13,48.33,90.56,19.13,85.1,2.15,91.18,20.2,94.04,4.69,55.41,19.34,40.13,0,0,0.06,0,0.06,0,0,7.03,81.98,0.7,54.55,0.25,50,0.44,0,7.79,77.24
